"year";"month";"day";"hour MEZ";"min";"dewpoint temperature (degree C)";"air temperature (degree C)";"relative humidity (%)";"global radiation (W m^(-2))";"wind speed (km/h)";"wind direction (degree)";"wind speed - gust (km/h)";"precipitation (10^(-1) mm)";"air pressure (hPa)"
2005;3;13;20;00;-3,4;3,5;60,7;0,2;9,5;-0,2;-6999;0,0;-6999;
2005;3;13;20;15;-3,3;3,4;61,3;0,1;9,7;-0,1;-6999;0,0;-6999;
2005;3;13;20;30;-3,3;3,3;62,0;0,0;8,8;-0,1;-6999;0,0;-6999;
2005;3;13;20;45;-3,4;3,2;62,1;0,2;9,7;-0,2;-6999;0,0;-6999;
2005;3;13;21;00;-3,3;3,3;62,1;0,1;10,1;-0,1;-6999;0,0;-6999;
2005;3;13;21;15;-3,3;3,2;62,2;0,3;9,6;-0,1;-6999;0,0;-6999;
2005;3;13;21;30;-3,3;3,2;62,4;0,2;10,5;-0,1;-6999;0,0;-6999;
2005;3;13;21;45;-3,3;3,1;62,8;0,2;10,1;-0,1;-6999;0,0;-6999;
2005;3;13;22;00;-3,3;3,0;63,5;0,1;6,2;-0,1;-6999;0,0;-6999;
2005;3;13;22;15;-3,2;2,9;64,4;0,2;6,0;-0,1;-6999;0,0;-6999;
2005;3;13;22;30;-3,1;2,8;64,9;0,2;5,8;-0,1;-6999;0,0;-6999;
2005;3;13;22;45;-3,2;2,6;65,6;0,2;4,7;-0,1;-6999;0,0;-6999;
2005;3;13;23;00;-3,1;2,4;67,0;-0,1;3,5;-0,1;-6999;0,0;-6999;
2005;3;13;23;15;-3,1;2,1;68,3;0,0;6,1;-0,1;-6999;0,0;-6999;
2005;3;13;23;30;-3,3;2,0;67,9;0,1;7,0;-0,1;-6999;0,0;-6999;
2005;3;13;23;45;-3,3;1,8;68,7;0,1;6,6;-0,1;-6999;0,0;-6999;
2005;3;13;24;00;-3,3;1,6;69,7;0,1;5,7;-0,1;-6999;0,0;-6999;
2005;3;14;00;15;-3,4;0,9;72,7;0,2;5,2;-0,1;-6999;0,0;-6999;
2005;3;14;00;30;-3,6;0,6;73,5;0,1;4,5;-0,1;-6999;0,0;-6999;
2005;3;14;00;45;-3,8;0,4;73,6;0,2;3,6;-0,1;-6999;0,0;-6999;
2005;3;14;01;00;-3,9;0,6;71,9;0,3;5,4;-0,1;-6999;0,0;-6999;
2005;3;14;01;15;-3,8;1,0;70,2;0,2;6,5;-0,1;-6999;0,0;-6999;
2005;3;14;01;30;-4,0;1,2;68,5;0,2;5,9;-0,1;-6999;0,0;-6999;
2005;3;14;01;45;-4,2;1,0;68,3;0,4;4,4;-0,2;-6999;0,0;-6999;
2005;3;14;02;00;-4,0;1,2;68,2;0,3;3,1;-0,1;-6999;0,0;-6999;
2005;3;14;02;15;-4,2;1,1;67,7;0,2;4,7;-0,1;-6999;0,0;-6999;
2005;3;14;02;30;-4,1;0,5;71,0;0,1;4,2;-0,1;-6999;0,0;-6999;
2005;3;14;02;45;-4,0;0,2;73,5;0,2;3,6;-0,1;-6999;0,0;-6999;
2005;3;14;03;00;-4,3;0,4;70,8;0,2;3,8;-0,1;-6999;0,0;-6999;
2005;3;14;03;15;-4,4;0,8;68,1;0,4;3,6;-0,1;-6999;0,0;-6999;
2005;3;14;03;30;-4,5;1,1;66,4;0,3;3,8;-0,1;-6999;0,0;-6999;
2005;3;14;03;45;-4,6;0,9;66,7;0,0;3,1;-0,1;-6999;0,0;-6999;
2005;3;14;04;00;-4,4;0,8;68,2;0,0;2,2;-0,1;-6999;0,0;-6999;
2005;3;14;04;15;-4,5;0,7;68,3;0,0;0,7;-0,1;-6999;0,0;-6999;
2005;3;14;04;30;-4,6;0,1;70,6;0,2;0,0;-0,1;-6999;0,0;-6999;
2005;3;14;04;45;-4,5;0,3;70,1;0,3;0,0;-0,1;-6999;0,0;-6999;
2005;3;14;05;00;-4,5;0,2;70,5;0,3;0,0;-0,1;-6999;0,0;-6999;
2005;3;14;05;15;-4,6;0,1;70,7;0,1;0,0;-0,1;-6999;0,0;-6999;
2005;3;14;05;30;-4,4;-1,0;77,8;0,2;2,9;-0,1;-6999;0,0;-6999;
2005;3;14;05;45;-4,0;-1,3;82,0;0,3;4,8;-0,1;-6999;0,0;-6999;
2005;3;14;06;00;-4,1;-1,1;79,9;0,8;4,4;-0,1;-6999;0,0;-6999;
2005;3;14;06;15;-4,3;-1,0;78,1;4,6;4,0;-0,1;-6999;0,0;-6999;
2005;3;14;06;30;-4,2;-0,5;76,1;17,6;3,8;-0,1;-6999;0,0;-6999;
2005;3;14;06;45;-4,2;-0,7;77,1;45,2;1,4;-0,1;-6999;0,0;-6999;
2005;3;14;07;00;-4,2;-0,8;78,0;83,5;2,0;-0,1;-6999;0,0;-6999;
2005;3;14;07;15;-3,8;-0,4;78,0;121,2;1,2;-0,1;-6999;0,0;-6999;
2005;3;14;07;30;-3,8;-0,4;77,8;165,0;1,3;-0,1;-6999;0,0;-6999;
2005;3;14;07;45;-3,8;-0,4;77,6;212,6;0,0;-0,1;-6999;0,0;-6999;
2005;3;14;08;00;-3,7;0,1;75,6;254,6;0,2;-0,1;-6999;0,0;-6999;
2005;3;14;08;15;-3,6;1,1;70,8;300,8;0,5;-0,1;-6999;0,0;-6999;
2005;3;14;08;30;-3,6;1,1;70,9;339,3;1,5;-0,1;-6999;0,0;-6999;
