"year";"month";"day";"hour MEZ";"min";"dewpoint temperature (degree C)";"air temperature (degree C)";"relative humidity (%)";"global radiation (W m^(-2))";"wind speed (km/h)";"wind direction (degree)";"wind speed - gust (km/h)";"precipitation (10^(-1) mm)";"air pressure (hPa)"
2005;4;3;02;30;-1,2;4,2;67,7;-0,1;0,0;56,9;-6999;0,0;998,0
2005;4;3;02;45;-1,3;4,0;68,4;0,1;0,5;75,0;-6999;0,0;998,0
2005;4;3;03;00;-1,1;4,1;68,7;-0,1;0,7;83,2;-6999;0,0;998,0
2005;4;3;03;15;-1,3;3,9;68,8;0,0;0,0;73,7;-6999;0,0;998,0
2005;4;3;03;30;-1,5;3,4;70,3;-0,2;0,0;57,6;-6999;0,0;998,0
2005;4;3;03;45;-1,5;3,6;69,2;0,1;0,0;227,1;-6999;0,0;998,0
2005;4;3;04;00;-1,7;3,6;68,2;0,2;0,0;341,2;-6999;0,0;998,0
2005;4;3;04;15;-1,6;3,8;67,7;0,2;0,0;346,7;-6999;0,0;998,0
2005;4;3;04;30;-1,6;4,0;66,7;0,1;0,0;342,2;-6999;0,0;998,0
2005;4;3;04;45;-1,5;4,3;65,8;0,2;0,0;339,2;-6999;0,0;998,0
2005;4;3;05;00;-1,7;4,1;66,1;0,1;0,0;347,2;-6999;0,0;998,0
2005;4;3;05;15;-1,7;3,9;66,9;0,6;0,0;244,1;-6999;0,0;998,0
2005;4;3;05;30;-1,6;4,0;67,1;2,9;0,0;249,3;-6999;0,0;998,0
2005;4;3;05;45;-1,9;4,0;65,4;11,7;0,9;250,4;-6999;0,0;998,0
2005;4;3;06;00;-2,0;4,1;64,3;38,3;0,4;233,2;-6999;0,0;998,0
2005;4;3;06;15;-1,8;4,3;64,3;71,6;1,5;219,7;-6999;0,0;998,0
2005;4;3;06;30;-1,8;4,4;64,0;114,5;1,4;202,8;-6999;0,0;998,0
2005;4;3;06;45;-1,4;5,3;61,8;161,1;0,0;190,0;-6999;0,0;999,0
2005;4;3;07;00;-1,4;5,7;60,1;199,8;1,5;127,3;-6999;0,0;999,0
2005;4;3;07;15;-1,6;5,6;59,7;242,9;5,8;129,0;-6999;0,0;999,0
2005;4;3;07;30;-1,8;6,0;57,5;285,4;2,6;141,2;-6999;0,0;999,0
2005;4;3;07;45;-1,6;6,2;57,4;332,0;2,7;147,5;-6999;0,0;999,0
2005;4;3;08;00;-1,4;6,7;56,4;385,6;4,6;155,1;-6999;0,0;999,0
2005;4;3;08;15;-1,0;7,9;53,5;429,2;1,9;137,4;-6999;0,0;999,0
2005;4;3;08;30;-0,7;8,2;53,5;469,1;5,1;138,0;-6999;0,0;999,0
